"DB","Lange","Hohe","Name","Kommentar"
"36","9.09488833333333","48.8975833333333","Dienstag, den 08.01.2019 um 21:16 Uhr",NULL
"44","9.12196301","48.88910618","Donnerstag, den 31.01.2019 um 13:35 Uhr",NULL
"49","9.20834896","48.89610279","Freitag, den 01.02.2019 um 05:49 Uhr",NULL
"62","9.2071742","48.89614106","Freitag, den 01.02.2019 um 05:50 Uhr",NULL
"65","9.19230402","48.89629164","Freitag, den 01.02.2019 um 05:54 Uhr",NULL
"58","9.19231832","48.89629935","Freitag, den 01.02.2019 um 05:55 Uhr",NULL
"54","9.19232079","48.89629579","Freitag, den 01.02.2019 um 05:55 Uhr",NULL
"49","9.19199965","48.89624373","Freitag, den 01.02.2019 um 05:55 Uhr",NULL
"67","9.19153661","48.89626275","Freitag, den 01.02.2019 um 05:56 Uhr",NULL
"66","9.19056345","48.89625499","Freitag, den 01.02.2019 um 05:56 Uhr",NULL
"76","9.19042333","48.89626892","Freitag, den 01.02.2019 um 05:56 Uhr",NULL
"76","9.18932191","48.89629333","Freitag, den 01.02.2019 um 05:56 Uhr",NULL
"76","9.18835068","48.89590019","Freitag, den 01.02.2019 um 05:56 Uhr",NULL
"55","9.14066444","48.88903405","Freitag, den 01.02.2019 um 06:12 Uhr",NULL
"63","9.14077077","48.88915591","Freitag, den 01.02.2019 um 06:12 Uhr",NULL
"50","9.13988781","48.89171444","Freitag, den 01.02.2019 um 06:12 Uhr",NULL
"73","9.13975107","48.89193401","Freitag, den 01.02.2019 um 06:29 Uhr",NULL
"56","9.08351715","48.90237819","Freitag, den 01.02.2019 um 12:03 Uhr",NULL
"70","9.08351229","48.90238437","Freitag, den 01.02.2019 um 12:03 Uhr",NULL
"62","9.08332884","48.90252379","Freitag, den 01.02.2019 um 12:04 Uhr",NULL
"61","9.08332844","48.90252822","Freitag, den 01.02.2019 um 12:04 Uhr",NULL
"56","9.08332","48.9025323","Freitag, den 01.02.2019 um 12:04 Uhr",NULL
"65","9.08275338","48.90289562","Freitag, den 01.02.2019 um 12:05 Uhr",NULL
"52","9.08429539","48.90521029","Freitag, den 01.02.2019 um 12:12 Uhr",NULL
"62","9.08429606","48.90520918","Freitag, den 01.02.2019 um 12:12 Uhr",NULL
